categoria,nombre,descripcion,foto_url,medida,codigo
"Cocina","Asiento de válvula de gas","Compatible con las principales marcas de cocinas a gas.","/placeholder.jpg","1/2""","COC-001"
"Cocina","Asiento de válvula de gas","Compatible con las principales marcas de cocinas a gas.","/placeholder.jpg","3/4""","COC-002"
"Cocina","Quemador auxiliar","","/placeholder.jpg","55mm","COC-003"
"Cocina","Quemador auxiliar","","/placeholder.jpg","65mm","COC-004"
"Cocina","Quemador semi-rápido","","/placeholder.jpg","75mm","COC-005"
"Cocina","Tapa de quemador","Acero esmaltado.","/placeholder.jpg","55mm","COC-006"
"Cocina","Tapa de quemador","Acero esmaltado.","/placeholder.jpg","65mm","COC-007"
"Cocina","Tapa de quemador","Acero esmaltado.","/placeholder.jpg","75mm","COC-008"
"Cocina","Inyector de gas","","/placeholder.jpg","0.70mm","COC-009"
"Cocina","Inyector de gas","","/placeholder.jpg","0.85mm","COC-010"
"Cocina","Inyector de gas","","/placeholder.jpg","1.00mm","COC-011"
"Cocina","Válvula de paso","Para cocina con encendido eléctrico.","/placeholder.jpg","Universal","COC-012"
"Cocina","Electrodo de encendido","","/placeholder.jpg","Universal","COC-013"
"Cocina","Termocupla cocina","","/placeholder.jpg","400mm","COC-014"
"Cocina","Termocupla cocina","","/placeholder.jpg","600mm","COC-015"
"Cocina","Rejilla de hierro fundido","Fundición pesada, antideslizante.","/placeholder.jpg","300x300mm","COC-016"
"Termotanque","Termocupla termotanque","","/placeholder.jpg","400mm","TER-001"
"Termotanque","Termocupla termotanque","","/placeholder.jpg","600mm","TER-002"
"Termotanque","Termocupla termotanque","","/placeholder.jpg","900mm","TER-003"
"Termotanque","Válvula de seguridad","Descarga a 10 bar.","/placeholder.jpg","1/2""","TER-004"
"Termotanque","Válvula de seguridad","Descarga a 10 bar.","/placeholder.jpg","3/4""","TER-005"
"Termotanque","Ánodo de magnesio","Protección anticorrosión.","/placeholder.jpg","300mm","TER-006"
"Termotanque","Ánodo de magnesio","Protección anticorrosión.","/placeholder.jpg","500mm","TER-007"
"Termotanque","Piloto completo","Incluye termocupla y boquilla.","/placeholder.jpg","Universal","TER-008"
"Termotanque","Resistencia eléctrica","Para modelos mixtos gas/eléctrico.","/placeholder.jpg","1500W","TER-009"
"Termotanque","Resistencia eléctrica","Para modelos mixtos gas/eléctrico.","/placeholder.jpg","2000W","TER-010"
"Termotanque","Aireador de piloto","","/placeholder.jpg","Universal","TER-011"
"Termotanque","Sello de tapa","Goma de silicona resistente a altas temperaturas.","/placeholder.jpg","Universal","TER-012"
"Calefón","Termocupla calefón","","/placeholder.jpg","400mm","CAL-001"
"Calefón","Termocupla calefón","","/placeholder.jpg","600mm","CAL-002"
"Calefón","Electrodo de encendido calefón","","/placeholder.jpg","Universal","CAL-003"
"Calefón","Piloto calefón","Incluye portapiloto y boquilla.","/placeholder.jpg","Universal","CAL-004"
"Calefón","Membrana de agua","Goma de alta durabilidad.","/placeholder.jpg","Universal","CAL-005"
"Calefón","Válvula de agua","","/placeholder.jpg","1/2""","CAL-006"
"Calefón","Válvula de agua","","/placeholder.jpg","3/4""","CAL-007"
"Calefón","Inyector de gas calefón","","/placeholder.jpg","1.00mm","CAL-008"
"Calefón","Inyector de gas calefón","","/placeholder.jpg","1.15mm","CAL-009"
"Calefón","Inyector de gas calefón","","/placeholder.jpg","1.30mm","CAL-010"
"Calefón","Intercambiador de calor","Cobre, compatible multimarca.","/placeholder.jpg","Universal","CAL-011"
"Calefón","Serpentina de cobre","","/placeholder.jpg","12mm","CAL-012"
"Calefón","Serpentina de cobre","","/placeholder.jpg","15mm","CAL-013"
"Calefón","Válvula reguladora de gas","","/placeholder.jpg","Universal","CAL-014"
"Calefón","Juntas de goma surtidas","Kit de 12 unidades, distintos diámetros.","/placeholder.jpg","Kit x12","CAL-015"
"Calefón","Filtro de agua","Evita sedimentos en el intercambiador.","/placeholder.jpg","1/2""","CAL-016"
"Calefón","Resorte de válvula","","/placeholder.jpg","Universal","CAL-017"
"Calefón","Cable de encendido","Alta tensión, resistente al calor.","/placeholder.jpg","400mm","CAL-018"
"Calefón","Cable de encendido","Alta tensión, resistente al calor.","/placeholder.jpg","600mm","CAL-019"
"Calefón","Módulo de encendido electrónico","Para calefones con encendido a pila.","/placeholder.jpg","Universal","CAL-020"
"Termocuplas","Termocupla universal tipo K","Rosca M9x1","/placeholder.jpg","300mm","TC-001"
"Termocuplas","Termocupla universal tipo K","Rosca M9x1","/placeholder.jpg","400mm","TC-002"
"Termocuplas","Termocupla universal tipo K","Rosca M9x1","/placeholder.jpg","600mm","TC-003"
"Termocuplas","Termocupla universal tipo K","Rosca M9x1","/placeholder.jpg","900mm","TC-004"
"Termocuplas","Termocupla con interruptor de seguridad","Para válvulas de seguridad de bloqueo total.","/placeholder.jpg","400mm","TC-005"
"Termocuplas","Termocupla con interruptor de seguridad","Para válvulas de seguridad de bloqueo total.","/placeholder.jpg","600mm","TC-006"
"Termocuplas","Termocupla de doble conexión","Para artefactos con dos salidas de piloto.","/placeholder.jpg","600mm","TC-007"
"Termocuplas","Termocupla blindada","Vaina de acero inoxidable, alta temperatura.","/placeholder.jpg","400mm","TC-008"
"Termocuplas","Termocupla blindada","Vaina de acero inoxidable, alta temperatura.","/placeholder.jpg","600mm","TC-009"
"Termocuplas","Adaptador de rosca para termocupla","Convierte M9x1 a M10x1.","/placeholder.jpg","M9→M10","TC-010"